"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","346","n/e","n/e","1727","0","n/e","n/e","n/e","n/e","2045","1","2299","1366","n/e","n/e","26","n/e","172","n/e","5","442"
"BZN|PT","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","342","n/e","n/e","1844","0","n/e","n/e","n/e","n/e","1194","36","2271","1232","n/e","n/e","24","n/e","620","n/e","4","369"
"BZN|PT","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","346","n/e","n/e","1902","0","n/e","n/e","n/e","n/e","805","276","2297","1158","n/e","n/e","26","n/e","949","n/e","5","278"
"BZN|PT","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","350","n/e","n/e","1998","0","n/e","n/e","n/e","n/e","606","932","2296","1107","n/e","n/e","26","n/e","1092","n/e","3","205"
"BZN|PT","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","352","n/e","n/e","2143","0","n/e","n/e","n/e","n/e","601","1064","2258","1164","n/e","n/e","27","n/e","1158","n/e","2","174"
"BZN|PT","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","351","n/e","n/e","2133","0","n/e","n/e","n/e","n/e","590","1176","2218","1284","n/e","n/e","25","n/e","1137","n/e","4","184"
"BZN|PT","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","355","n/e","n/e","2024","0","n/e","n/e","n/e","n/e","641","682","2245","1231","n/e","n/e","26","n/e","1015","n/e","3","240"
"BZN|PT","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","361","n/e","n/e","2036","0","n/e","n/e","n/e","n/e","607","719","2265","1190","n/e","n/e","26","n/e","735","n/e","2","242"
"BZN|PT","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","360","n/e","n/e","2419","0","n/e","n/e","n/e","n/e","1268","62","2281","1367","n/e","n/e","25","n/e","277","n/e","1","246"
"BZN|PT","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","348","n/e","n/e","2591","0","n/e","n/e","n/e","n/e","2418","61","2284","1369","n/e","n/e","24","n/e","10","n/e","0","316"
"BZN|PT","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","338","n/e","n/e","2826","0","n/e","n/e","n/e","n/e","2081","61","2228","1394","n/e","n/e","25","n/e","0","n/e","0","420"
"BZN|PT","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","334","n/e","n/e","2712","0","n/e","n/e","n/e","n/e","2089","60","2238","1432","n/e","n/e","25","n/e","0","n/e","0","492"
"BZN|PT","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","335","n/e","n/e","2659","0","n/e","n/e","n/e","n/e","1587","1","2212","1408","n/e","n/e","27","n/e","0","n/e","0","533"
"BZN|PT","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","333","n/e","n/e","2512","0","n/e","n/e","n/e","n/e","961","154","2216","1360","n/e","n/e","26","n/e","0","n/e","1","503"
"BZN|PT","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","329","n/e","n/e","2392","0","n/e","n/e","n/e","n/e","792","668","2225","1290","n/e","n/e","25","n/e","0","n/e","1","474"
"BZN|PT","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","329","n/e","n/e","1940","0","n/e","n/e","n/e","n/e","777","80","2272","1195","n/e","n/e","25","n/e","0","n/e","1","387"
"BZN|PT","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","327","n/e","n/e","1287","0","n/e","n/e","n/e","n/e","701","170","2255","1162","n/e","n/e","26","n/e","0","n/e","2","312"
"BZN|PT","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","322","n/e","n/e","1070","0","n/e","n/e","n/e","n/e","617","246","2046","1160","n/e","n/e","26","n/e","0","n/e","1","304"
"BZN|PT","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","328","n/e","n/e","1103","0","n/e","n/e","n/e","n/e","447","489","2021","1290","n/e","n/e","26","n/e","0","n/e","1","269"
"BZN|PT","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","330","n/e","n/e","1094","0","n/e","n/e","n/e","n/e","571","621","2029","1292","n/e","n/e","26","n/e","0","n/e","0","307"
"BZN|PT","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","324","n/e","n/e","1036","0","n/e","n/e","n/e","n/e","643","627","2010","1248","n/e","n/e","25","n/e","0","n/e","0","322"
"BZN|PT","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","330","n/e","n/e","1127","0","n/e","n/e","n/e","n/e","646","529","1822","1308","n/e","n/e","26","n/e","0","n/e","1","340"
"BZN|PT","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","322","n/e","n/e","1488","0","n/e","n/e","n/e","n/e","710","840","1873","1205","n/e","n/e","25","n/e","0","n/e","1","402"
"BZN|PT","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","327","n/e","n/e","1624","0","n/e","n/e","n/e","n/e","2001","1","2318","1342","n/e","n/e","26","n/e","1","n/e","1","438"
